margined_safety_distance (x), current_s (y), target_v (z), CS.vEgo (w)
13.0, 51.11561867276824, 0.0, 8.236561654939578e-09
13.0, 51.11561867276824, 0.0, 3.6288192006850295e-08
13.0, 51.11561867276824, 0.0, -8.827496600360973e-08
13.0, 51.11561867276824, 0.0, 1.823069339934591e-07
13.0, 51.11561867276824, 0.0, -4.283929655457541e-08
13.0, 51.11561867276824, 0.0, 9.971060421776201e-09
13.0, 51.11561867276824, 0.0, -2.7364968957499514e-08
13.0, 51.11561867276824, 0.0, 1.2096886337076285e-07
13.0, 51.11561867276824, 0.0, -1.9785161953222996e-07
13.0, 51.11561867276824, 0.0, 8.53568167258345e-08
13.0, 51.11561867276824, 0.0, 6.182020229061891e-08
13.0, 51.11561867276824, 0.0, 1.5970474720461425e-08
13.0, 51.11561867276824, 0.0, -8.196205669719347e-08
13.0, 51.11561867276824, 0.0, 5.9048058886901345e-08
13.0, 51.11561867276824, 0.0, -3.1791472565601e-08
13.0, 51.11561867276824, 0.0, -1.4796194136579288e-07
13.0, 51.11550722634096, 0.0, 3.579526008934408e-08
13.0, 51.11561867276824, 0.0, 1.0078116474687704e-07
13.0, 51.11561867276824, 0.0, -5.1928260802469595e-08
13.0, 51.11561867276824, 0.0, -9.326328154202201e-09
13.0, 51.11561867276824, 0.0, -2.3482328970203525e-08
13.0, 51.11561867276824, 0.0, 2.0527870958630956e-08
13.0, 51.115730119244056, 0.0, -2.699002550343721e-07
13.0, 51.11561867276824, 0.0, 8.268483497886336e-08
13.0, 51.11561867276824, 0.0, -2.6712683620644384e-08
13.0, 51.11561867276824, 0.0, 9.51876089061443e-09
13.0, 51.11561867276824, 0.0, -2.5891554855661525e-07
13.0, 51.11561867276824, 0.0, 1.7971549937101372e-07
13.0, 51.11561867276824, 0.0, 1.644296432345982e-08
13.0, 51.11561867276824, 0.0, -6.703007215946855e-08
13.0, 51.11561867276824, 0.0, -1.852266962032445e-07
13.0, 51.11561867276824, 0.0, -3.187635044810122e-08
13.0, 51.11561867276824, 0.0, -1.460582410572897e-07
13.0, 51.11561867276824, 0.0, 1.9043267229790217e-07
13.0, 51.11561867276824, 0.0, 7.335202667491103e-08
13.0, 51.11561867276824, 0.0, 5.527997615217828e-09
13.0, 51.11561867276824, 0.0, -3.7226236315746064e-08
13.0, 51.11561867276824, 0.0, 8.197044110147544e-08
13.0, 51.11561867276824, 0.0, -1.4951581306377193e-07
13.0, 51.11561867276824, 0.0, 5.967087446379082e-08
13.0, 51.11561867276824, 0.0, -9.068955364455178e-08
13.0, 51.11549477428937, 0.0, -3.7236418393149506e-09
13.0, 51.11477628787591, 0.0, 0.0048644281923770905
13.0, 51.11347566769388, 0.0, 0.009708219207823277
13.0, 51.111332669432024, 0.0, 0.02253594808280468
13.0, 51.10774026547201, 0.0, 0.028891930356621742
13.0, 51.10427177587315, 0.0, 0.03832966461777687
13.0, 51.09923000830809, 0.0, 0.04635082185268402
13.0, 51.09337704913196, 0.0, 0.05412813648581505
13.0, 51.08692334574284, 0.0, 0.06184883415699005
13.0, 51.080091787981296, 0.0, 0.06951501965522766
13.0, 51.071842088254385, 0.0, 0.07590069621801376
13.0, 51.05797513465634, 0.0, 0.09996624290943146
13.0, 51.03665783210939, 0.0, 0.205315500497818
13.0, 50.971217581608556, 0.0, 0.42212921380996704
13.0, 50.89525050222465, 0.0, 0.6929798722267151
13.0, 50.746330158676066, 0.0, 1.0814483165740967
13.0, 50.63592711350003, 0.0, 1.656567931175232
13.0, 50.41784555861917, 0.0, 1.974910020828247
13.0, 50.17104237412134, 0.0, 2.2971909046173096
13.0, 49.94564863919548, 0.0, 2.3850297927856445
13.0, 49.76090593020272, 0.0, 2.4228811264038086
13.0, 49.45794614527834, 0.0, 2.4328248500823975
13.0, 49.272490950512804, 0.0, 2.436641216278076
13.0, 48.96676627254743, 0.0, 2.4346911907196045
13.0, 48.710283016377616, 0.0, 2.4305615425109863
13.0, 48.56547232719943, 0.0, 2.4214720726013184
13.0, 48.23721835115848, 0.0, 2.4114322662353516
13.0, 48.0165268974761, 0.0, 2.396902561187744
13.0, 47.860802925022924, 0.0, 2.385876178741455
13.0, 47.63345273055001, 0.0, 2.3675198554992676
13.0, 47.400272996994666, 0.0, 2.350858211517334
13.0, 47.18296995810024, 0.0, 2.334047317504883
13.0, 46.9070492041954, 0.0, 2.324216842651367
13.0, 46.67938079638457, 0.0, 2.308258295059204
13.0, 46.495380810631346, 0.0, 2.286896228790283
13.0, 46.29267616005136, 0.0, 2.278017520904541
13.0, 46.10390741630096, 0.0, 2.021409273147583
13.0, 45.895197323244254, 0.0, 2.0128612518310547
13.0, 45.69805612824775, 0.0, 2.0046956539154053
13.0, 45.486407570561425, 0.0, 1.9983981847763062
13.0, 45.27509281270028, 0.0, 1.9905649423599243
13.0, 45.11335933429825, 0.0, 1.9826983213424683
13.0, 44.91059267960003, 0.0, 1.97327721118927
13.0, 44.72567500714677, 0.0, 1.9686148166656494
13.0, 44.53488358155131, 0.0, 1.9593573808670044
13.0, 44.40422967840035, 0.0, 1.7120836973190308
13.0, 44.206943483458616, 0.0, 1.7082539796829224
13.0, 44.051588007322756, 0.0, 1.7033493518829346
13.0, 43.88420717096621, 0.0, 1.6986535787582397
13.0, 43.88420717096621, 0.0, 1.6950228214263916
13.0, 43.88420717096621, 0.0, 1.6950228214263916
13.0, 43.85182452892641, 0.0, 1.6940863132476807
13.0, 43.85182452892641, 0.0, 1.6931458711624146
13.0, 43.85182452892641, 0.0, 1.6931458711624146
13.0, 43.85182452892641, 0.0, 1.6931458711624146
13.0, 43.85182452892641, 0.0, 1.6931458711624146
13.0, 43.85182452892641, 0.0, 1.6931458711624146
13.0, 43.85182452892641, 0.0, 1.6931458711624146
13.0, 43.85182452892641, 0.0, 1.6931458711624146
13.0, 43.85182452892641, 0.0, 1.6931458711624146
13.0, 43.85182452892641, 0.0, 1.6931458711624146
13.0, 43.85182452892641, 0.0, 1.6931458711624146
13.0, 43.85182452892641, 0.0, 1.6931458711624146
13.0, 43.85182452892641, 0.0, 1.6931458711624146
13.0, 43.85182452892641, 0.0, 1.6931458711624146
13.0, 43.85182452892641, 0.0, 1.6931458711624146
13.0, 43.85182452892641, 0.0, 1.6931458711624146
13.0, 43.85182452892641, 0.0, 1.6931458711624146
13.0, 43.85182452892641, 0.0, 1.6931458711624146
13.0, 43.85182452892641, 0.0, 1.6931458711624146
13.0, 43.85182452892641, 0.0, 1.6931458711624146
