timestamp,data,timestamps
1700200142.9519281,"[352.53630890326315, 978.8136123053207, 149.30045950465058]"
1700200143.0018296,"[352.2878480439204, 978.9619331825165, 149.0314959562802]"
1700200143.0519114,"[352.1226360450006, 979.0615788508032, 148.85667038201012]"
1700200143.101989,"[351.87543850584314, 979.2123076392227, 148.6000824106394]"
1700200143.1517901,"[351.7109890779348, 979.3134400987427, 148.42853322321162]"
1700200143.2017806,"[351.4648435502677, 979.465970696768, 148.1711533477864]"
1700200143.2519243,"[351.30110374224654, 979.5682520507147, 147.9975340634304]"
1700200143.3017993,"[351.05589543797123, 979.7224892528798, 147.73608301296008]"
1700200143.3517716,"[350.89280294185284, 979.8258440599682, 147.57031063003217]"
1700200143.4070895,"[350.81137918485825, 979.8777402822127, 147.487049458996]"
1700200143.4577563,"[350.4866960893633, 980.0873093807999, 147.1617784061367]"
1700200143.501836,"[350.24378532083904, 980.2458291056515, 146.90914431814912]"
1700200143.5523233,"[350.08208754884004, 980.3519631078389, 146.74039133351278]"
1700200143.6018698,"[349.839936657911, 980.5116319589436, 146.49108141667534]"
1700200143.6518679,"[349.67874974522175, 980.6185412353464, 146.32435489236207]"
1700200143.7019906,"[349.4375553564502, 980.7798315595089, 146.07548229015555]"
1700200143.752024,"[349.27724756150394, 980.8880065755077, 145.9103247837823]"
1700200143.801905,"[349.03747106845384, 981.0513202499685, 145.66247922680196]"
1700200143.8517933,"[348.8781249863972, 981.1609681015751, 145.50458156834435]"
1700200143.9017138,"[348.6397346513132, 981.3264062858779, 145.27451429687028]"
1700200143.9518332,"[348.48108431561894, 981.4371601201271, 145.1218759628929]"
1700200144.001736,"[348.24353854547127, 981.6037230094344, 144.89095081609076]"
1700200144.0579436,"[348.08550017689004, 981.7153244718809, 144.7323000216922]"
1700200144.1071742,"[347.8490752711285, 981.8835696149889, 144.48865265151005]"
1700200144.152025,"[347.6918217961243, 981.996059737809, 144.3290332877113]"
1700200144.20175,"[347.45649852237165, 982.1655707674021, 144.09575315715807]"
1700200144.2516816,"[347.2999703667444, 982.278905463817, 143.9411305911379]"
1700200144.3020139,"[347.06600836684623, 982.4496511421655, 143.70835918298695]"
1700200144.3624473,"[346.9106915997779, 982.5640211356654, 143.5544224646266]"
1700200144.4017525,"[346.83324391815455, 982.6213907474796, 143.47768326528706]"
1700200144.4518948,"[346.52495458904707, 982.8520569688978, 143.1798654498237]"
1700200144.5127664,"[346.2951215169359, 983.0257742285039, 142.95572163777564]"
1700200144.5516899,"[346.14240637474796, 983.1417461080207, 142.79883393790635]"
1700200144.6180418,"[345.91416857642224, 983.3159338840603, 142.55988468364876]"
1700200144.652125,"[345.76270662127644, 983.432425119054, 142.4028664312919]"
1700200144.701762,"[345.5366032429861, 983.6078855489611, 142.1732942442722]"
1700200144.7518802,"[345.3865483754827, 983.7251836227999, 142.01904178513593]"
1700200144.8019497,"[345.16221737585226, 983.9014624603371, 141.78581573603697]"
1700200144.8519597,"[345.0131648367813, 984.0191990232785, 141.62926666499283]"
1700200144.9019306,"[344.7905094936555, 984.1962419945124, 141.39076652923376]"
1700200144.9520435,"[344.6427032056187, 984.3146044709401, 141.22727447928804]"
1700200145.0019197,"[344.421928698195, 984.492643229959, 140.9739180744914]"
1700200145.0575125,"[344.27532523988606, 984.6116860525267, 140.80680346647074]"
1700200145.1017365,"[344.05641144107267, 984.7907475264585, 140.55818600095455]"
1700200145.1523921,"[343.9110597794626, 984.9104201104299, 140.39460489769107]"
1700200145.2016885,"[343.6937990651666, 985.0912487414827, 140.1523409896629]"
1700200145.2518766,"[343.5492340754978, 985.2125778431107, 139.99516619186926]"
1700200145.301751,"[343.332724598586, 985.3957169155958, 139.76288119777132]"
1700200145.3517127,"[343.18852576466185, 985.5184074386261, 139.60818094479674]"
1700200145.4017327,"[343.1164616232796, 985.5799026264901, 139.53026434288205]"
1700200145.452017,"[342.82850214621624, 985.8273458840454, 139.212885594849]"
1700200145.5126448,"[342.6130577265757, 986.0141022222375, 138.97420150523612]"
1700200145.5519183,"[342.4696550746619, 986.1392106718565, 138.81713085092002]"
1700200145.6017315,"[342.2551095514259, 986.3278139951624, 138.58231346384923]"
1700200145.6520114,"[342.1124499205501, 986.4542175965462, 138.42370874085418]"
1700200145.701749,"[341.8990135294233, 986.6448251206225, 138.18154074130968]"
1700200145.7518628,"[341.7571825165776, 986.7724819241032, 138.02122190428707]"
1700200145.8023536,"[341.5451738226207, 986.964727506748, 137.78205683158546]"
1700200145.8517864,"[341.40427296683464, 987.0933631510536, 137.61813610671203]"
1700200145.9019263,"[341.19346784423277, 987.2868525864052, 137.35981169220673]"
1700200145.951881,"[341.053178942822, 987.4161481378667, 137.1794319188469]"
1700200146.0017695,"[340.84330531976326, 987.6107052404185, 136.9044657186392]"
1700200146.0577059,"[340.63441873232034, 987.8065666204345, 136.62616372148176]"
1700200146.101832,"[340.4957890101267, 987.9378292531984, 136.44142818350826]"
1700200146.1517897,"[340.35760315469486, 988.0696852470373, 136.2569538408381]"
1700200146.2016873,"[340.1512566983295, 988.2683189510511, 135.98167588789602]"
1700200146.2517452,"[340.0143495786555, 988.4013910295206, 135.8014812149528]"
1700200146.3017204,"[339.8097985658231, 988.6018863931553, 135.53180919098168]"
1700200146.3516552,"[339.67389369065745, 988.7359799295942, 135.34907816402142]"
1700200146.4017558,"[339.60601533530104, 988.8031819139645, 135.25619391283914]"
